Minisector,HAM,MAG,Fastest
0,278.14003612753623,280.15915274378153,MAG
1,295.8895834133333,297.5331161904626,MAG
2,233.30048623194116,244.91185519171842,MAG
3,118.7480900135473,121.70983462359521,MAG
4,137.3207853438811,122.655822854112,HAM
5,249.05833370793653,245.14090966218512,HAM
6,250.03655705979128,261.3006408063985,MAG
7,124.15321705028276,121.13875120972645,HAM
8,244.59670182222223,244.4079566010412,HAM
9,255.49882811549583,262.628300834632,MAG
10,205.46537305747125,200.3778700330498,HAM
11,142.69321105638375,142.98648277660772,MAG
12,205.04285718095238,201.83290182200327,HAM
13,257.65456966211974,263.7291141334903,MAG
14,122.45433459817033,117.50270125890954,HAM
15,185.83246077049196,179.91848923333333,HAM
16,254.01323489723825,253.28264739835495,HAM
17,287.2783333333333,287.4831250666667,MAG
18,302.74402778753273,300.46833333333336,HAM
19,309.9454365206349,305.5978069894737,HAM
20,312.1868749866667,309.9041665185185,HAM
21,162.8582942084716,202.46404566883209,MAG
22,148.8183863834291,127.85474619346682,HAM
23,201.65355509475813,197.52682431509953,HAM
24,235.3615385846154,231.5154560867735,HAM
25,264.9833344,268.38472284444447,MAG
