Minisector,SAI,RIC,Fastest
0,296.4718882753102,294.7381722548303,SAI
1,304.62648807619047,303.8365075809524,SAI
2,307.03216811505195,309.9431735779389,RIC
3,295.5224356923077,311.33052703129255,RIC
4,194.85419939712583,198.39588116642304,RIC
5,96.97002581296977,99.94889713717261,RIC
6,206.7396835555556,202.4369753435166,SAI
7,258.04737724615103,255.16651647942368,SAI
8,280.559896,281.8884331610327,RIC
9,281.2461095822222,291.5937514666667,RIC
10,144.52447994774485,151.99517484625852,RIC
11,177.13073116829145,171.22284413642683,SAI
12,241.1513893925926,238.37786392760412,SAI
13,241.67198959576723,237.677629922807,SAI
14,148.06138783821578,150.89819811785415,RIC
15,209.93412091578483,211.19216107180713,RIC
16,259.9028214088979,259.71540775727965,SAI
17,281.0811757809524,280.4279357968254,SAI
18,292.80972236190473,292.62589026004457,SAI
19,299.51095314595295,300.6238891377778,RIC
20,291.67741931960205,286.7391353160573,SAI
21,150.28190414979525,147.22738597981186,SAI
22,208.57523934476188,203.32113241904764,SAI
23,258.0577723982575,254.63049588725318,SAI
24,282.39680091428573,279.7598954,SAI
25,,289.6736415118794,RIC
