Minisector,SAI,NOR,Fastest
0,298.4514446443427,317.992055379317,NOR
1,137.3396480878192,145.19702057916,NOR
2,213.41987154449973,220.02452509707592,NOR
3,274.70484036548845,277.2687675911111,NOR
4,313.7349612612136,312.99635319338574,SAI
5,316.4818749061623,322.08684035932646,NOR
6,154.33493009958127,154.29512761167186,SAI
7,241.8461596442392,247.5659935010956,NOR
8,113.46732239274317,121.35821127426296,NOR
9,146.3768002855241,142.00774655023488,SAI
10,272.3902227068787,267.23221945258484,SAI
11,292.8347851954424,295.73669674752495,NOR
12,263.3036500617143,268.4850764489851,NOR
13,154.10487680447469,162.17561759577092,NOR
14,270.2149197963529,272.8507978743643,NOR
15,306.58846096739035,306.6799918698465,NOR
16,323.52203950504276,323.13029505253263,SAI
17,330.3878473777778,330.6682531040994,NOR
18,336.0678620087359,334.6050907032369,SAI
19,334.7880950857143,338.52769276371885,NOR
20,241.0841572164957,254.43529718405642,NOR
21,146.97915847610676,147.73492061986045,NOR
22,276.2911855930253,273.6915121048713,SAI
23,311.07266704,309.9396393279457,SAI
24,326.1527415664645,320.2813999148052,SAI
25,,320.9892854857143,NOR
