Minisector,NOR,STR,Fastest
0,295.2719551589743,298.6535217259979,STR
1,235.635938,237.94665663014717,STR
2,203.6941965608485,189.60211894707658,NOR
3,267.5672840691358,262.2760156616412,NOR
4,224.24637388997297,219.87455054637962,NOR
5,111.15957795674814,110.75712230542071,NOR
6,175.05242114370316,177.42722325354887,STR
7,255.8567939152709,258.2476527199525,STR
8,284.68501884844125,284.26635357824847,NOR
9,296.33974214060066,296.68116697600004,STR
10,290.2210237805714,299.18038186666666,STR
11,221.47600103236806,225.82056943333333,STR
12,147.51959922906389,148.81180175711742,STR
13,257.17844394557824,256.83548347639214,NOR
14,289.13805941807993,287.3339748102564,NOR
15,295.08437506666667,291.19928587200945,NOR
16,279.77163466666667,278.95178347641536,NOR
17,246.72416679111112,238.72974072005078,NOR
18,175.19509054127255,176.81794651241867,STR
19,182.96009510692025,175.90150598383144,NOR
20,173.04992622105235,176.60783455994755,STR
21,245.01822642118378,236.73575136344084,NOR
22,122.41118231808487,119.49746413346446,NOR
23,192.87863784126984,200.79150599737488,STR
24,281.0955677707854,279.4613789128205,NOR
