Minisector,NOR,RAI,Fastest
0,288.55935270915575,288.7345348011093,RAI
1,289.17927966546483,291.2071247091154,RAI
2,160.66269483275482,156.4003548865028,NOR
3,231.66628640728877,223.51779863314277,NOR
4,276.6204600281504,272.58639273821694,NOR
5,294.605798215009,292.73939270747366,NOR
6,297.60687263286184,296.9057706026388,NOR
7,150.77479294761264,160.03206271058102,RAI
8,142.90294179273462,135.6916950050989,NOR
9,253.6528040970349,249.11333266699407,NOR
10,284.1087796285714,282.69932324571346,NOR
11,291.30935842561115,293.6777777777778,RAI
12,141.25289819991755,154.64227666647574,RAI
13,207.65035592312032,191.2878505134057,NOR
14,257.7791439497703,255.0022199548342,NOR
15,191.83566532534041,198.951597276694,RAI
16,225.8013869972588,215.42219592803812,NOR
17,206.0805883658867,207.6095060740331,RAI
18,248.30550703455972,240.48454758656092,NOR
19,280.1407163310335,273.19317093589706,NOR
20,291.9809415935972,290.4170992277373,NOR
21,252.2934674881804,257.9600672655084,RAI
22,215.40200516547765,226.36034889177358,RAI
23,208.15169186269657,198.2412666227681,NOR
24,267.451919354726,257.103007830321,NOR
25,,279.19166666666666,RAI
