Minisector,VER,MAG,Fastest
0,298.6266713405709,293.588234896478,VER
1,240.8839929826581,230.59287702857142,VER
2,130.60047894460192,129.24505104159363,VER
3,239.0675018225067,235.19660070740525,VER
4,192.2223718805054,188.90278768370067,VER
5,237.87943287085318,244.37953774598796,MAG
6,220.9324770080366,232.76974480346155,MAG
7,250.42341035205936,249.5538020305991,VER
8,282.6522669186674,282.86329353540765,MAG
9,215.76498980656524,214.37904182980083,VER
10,203.62311413760142,200.11186793589266,VER
11,270.87286858666664,267.6564861709031,VER
12,210.85413676257008,210.06643267322136,VER
13,249.89667188802986,239.64452076505745,VER
14,291.65989098152136,285.9564494052827,VER
15,307.2516961701587,301.46388743836735,VER
16,313.66813267275336,300.29055076190474,VER
17,243.39580424314872,236.0246899503056,VER
18,261.7644590340663,263.33502963931767,MAG
19,296.69912076579675,291.27559646064583,VER
20,310.4394937303167,304.9104352969697,VER
21,312.10321017454544,303.5157867690056,VER
22,147.29671054863724,154.8697476443119,MAG
23,228.69244465277342,223.9450728345576,VER
24,285.07696361419914,279.52867318489973,VER
25,294.5374992,288.6288087071156,VER
