Minisector,SAI,HAM,Fastest
0,317.5637437154346,323.5774270720802,HAM
1,326.00904966469506,337.4033499190476,HAM
2,321.83153778442147,346.18394894351815,HAM
3,184.17600921255888,185.81796508970035,HAM
4,125.8892529988628,122.01036325528058,SAI
5,261.59980368501596,263.99541381643905,HAM
6,298.62520737501507,299.09925967593784,HAM
7,312.49854831918975,313.1726033646685,HAM
8,268.1770744383261,265.9697050743259,SAI
9,139.31340684357752,142.05223222859567,HAM
10,209.55782793224708,214.0543052268967,HAM
11,209.75003486452894,206.5121314130504,SAI
12,193.6940788943653,192.27131324639507,SAI
13,265.25033835326644,265.0172953216596,SAI
14,300.8386540836458,299.71495236558223,SAI
15,312.30024986983653,311.5479697696066,SAI
16,256.4276986107137,251.06132847081085,SAI
17,211.04163897072078,208.35442397141586,SAI
18,270.9847263232778,270.69846694726783,SAI
19,304.9638447895739,304.02447063703704,SAI
20,315.57901158466467,318.7438829361953,HAM
21,296.62425736630087,298.92047225620337,HAM
22,204.1284517960189,199.75765657489296,SAI
23,264.51435137186456,257.7974498173545,SAI
24,301.05511586279374,297.0257742531987,SAI
25,,308.3277774222222,HAM
