Minisector,LEC,HUL,Fastest
0,252.44625272681142,253.7697818669815,HUL
1,217.80942104035555,198.9211310412289,LEC
2,202.92168898150118,205.38835494965988,HUL
3,255.6450012248804,247.26924508635824,LEC
4,270.7699998526984,268.5982622708918,LEC
5,289.3682222648889,288.52230628675784,LEC
6,157.8433706685152,153.91507112065747,LEC
7,162.61051040263374,189.45380020251693,HUL
8,265.7285965213362,269.6138771220779,HUL
9,295.4379774625801,298.90265620109176,HUL
10,308.24275360551917,311.12383404498314,HUL
11,312.1596180724059,312.9477865268262,HUL
12,117.16638536752615,107.62962971054347,LEC
13,193.35943125287463,189.95827896916404,LEC
14,269.44036449634643,273.62510496927564,HUL
15,293.9963415597861,309.79870855610113,HUL
16,301.85350993868974,323.5887813805195,HUL
17,187.47937253056958,190.61926010195666,HUL
18,215.7272125394061,214.8197491911111,LEC
19,268.7625507426263,266.2412760870987,LEC
20,145.60133414106207,159.9948145794318,HUL
21,144.74316561767188,137.87442432227172,LEC
22,218.54276129575757,207.43761459654627,LEC
23,233.49435618462292,228.12977678633607,LEC
24,161.6912732928869,156.20144244505863,LEC
25,224.61111466666668,225.37275839477945,HUL
