Minisector,HAM,LAW,Fastest
0,288.71410527556327,285.03366304839744,HAM
1,306.72585375682087,299.93296402739776,HAM
2,280.64413037905734,280.31443291812326,HAM
3,176.68641736375005,162.14861779929825,HAM
4,116.53271243720155,114.18707103307032,HAM
5,236.4076619861336,240.60669807545864,LAW
6,297.7862333899473,287.40920252554866,HAM
7,309.2454801195959,293.72225545016,HAM
8,166.14552002301684,168.8244516537442,LAW
9,137.32006460906086,137.81394304430424,LAW
10,251.62079445056312,251.91457253836373,LAW
11,290.12497498169466,287.31641348444447,HAM
12,294.7670213458643,291.3638501593737,HAM
13,271.65309410890046,263.4603719675152,HAM
14,286.23803031757575,281.314252446013,HAM
15,278.2456551420583,277.7288251513651,HAM
16,239.56894006440797,239.1012343206597,HAM
17,221.90941196048547,213.40469280440513,HAM
18,274.3643791258321,279.5221918902164,LAW
19,299.33437541149635,299.6751623064935,LAW
20,307.00231670022674,298.92092982724637,HAM
21,219.4931019683975,216.6008607595171,HAM
22,243.03984935114408,244.05786017611115,LAW
23,134.26614704486173,130.76652254693505,HAM
24,202.3629747661439,206.0222463265801,LAW
25,254.6750016,259.2333354666667,LAW
