Minisector,NOR,RUS,Fastest
0,319.71333023084173,306.0064600193016,NOR
1,240.84653807147336,237.20476014679508,NOR
2,129.85030908955352,121.17787532078144,NOR
3,236.72067580739375,236.9225905323262,RUS
4,196.1231607297764,190.95851940225683,NOR
5,249.2836188221734,243.42455783083176,NOR
6,230.68742944981838,227.36235380701586,NOR
7,260.0649944886388,251.81426220087982,NOR
8,291.17905451487184,292.39836184164125,RUS
9,197.58007837365804,205.1278007005215,RUS
10,209.1558472557249,196.508625050228,NOR
11,269.239098523498,270.99710340481084,RUS
12,216.072835099309,214.41480983088022,NOR
13,257.12716630167085,248.35676644091174,NOR
14,294.96455112546585,291.5500182687677,NOR
15,309.47342302676674,309.1925731346924,NOR
16,304.41412992151,309.77817493333333,RUS
17,202.9613627267475,208.40034273595245,RUS
18,263.68560196560384,260.43899456285715,NOR
19,298.5363380113572,295.0408212941825,NOR
20,310.3173429719807,311.5999229157033,RUS
21,304.28588624427886,313.4364440250784,RUS
22,156.4574531734915,153.73248061550305,NOR
23,232.6050742562018,225.64045061014684,NOR
24,289.5746377391304,284.22819344635406,NOR
25,,299.0216660622222,RUS
