Minisector,PER,LEC,Fastest
0,303.91072531131414,285.32531623334165,PER
1,319.2569443047619,294.7095906690282,PER
2,306.27193941471864,287.7612357729637,PER
3,107.7717581233795,111.48534779538585,LEC
4,221.3407248172043,223.40069546666666,LEC
5,278.99412852678057,272.5068018438691,PER
6,226.97694634666667,216.81758346500246,PER
7,158.06042357614194,159.8791153521292,LEC
8,216.28715517542244,209.69582801838453,PER
9,225.13549734376357,221.3486962481198,PER
10,121.47026485586406,119.95678835165604,PER
11,226.6760052597701,231.0662611720542,LEC
12,127.33592983927305,124.17500050431134,PER
13,222.75131667396562,225.0931942950337,LEC
14,276.97166640761907,278.49322946666666,LEC
15,226.81625129955555,213.9565126770215,PER
16,192.76785651809524,191.7869910952079,PER
17,251.54675921382716,242.61667840549305,PER
18,213.47916813333333,201.1087180675797,PER
19,176.31751183352492,179.8173486235711,LEC
20,260.82976321929453,261.8620348079128,LEC
21,281.47577641909703,285.8474504117122,LEC
22,181.78796138595823,172.1486762296007,PER
23,214.06854744086021,214.3001820500656,LEC
24,266.85178855500226,268.008012836716,LEC
25,280.0,,PER
