Minisector,NOR,HAD,Fastest
0,308.7483833936842,329.9223295608391,HAD
1,237.4555419954978,269.3928677236428,HAD
2,131.60708444437446,130.2882531832612,NOR
3,221.2294575021068,211.48608946405702,NOR
4,263.19557973620965,261.9884124451243,NOR
5,293.0485408498997,286.3573529411765,NOR
6,306.88244428800004,295.16980392784313,NOR
7,288.16145854306876,274.52570461658803,NOR
8,173.43759604512823,169.27684339907836,NOR
9,231.95171803999997,237.60275316772035,HAD
10,274.4481729974026,270.49087962962966,NOR
11,273.2396708888889,260.692796901731,NOR
12,211.98770985165945,203.69496380366147,NOR
13,126.42347701655558,125.74505352623532,NOR
14,117.87658424792463,119.03996079888128,HAD
15,169.6493225075132,164.36845216188945,NOR
16,118.69253342520058,117.26586143500397,NOR
17,225.2692024204287,225.01348817523808,NOR
18,198.59803118814816,202.63331614359646,HAD
19,158.43176916292776,148.61052346448372,NOR
20,245.67524404994708,243.23024175576722,NOR
21,274.37428763247027,271.2788273013134,NOR
22,291.2295903756254,289.26727272727277,NOR
23,301.0652677942857,301.2467911424245,HAD
24,306.87479513801935,307.8926786514286,HAD
25,,308.3708330666667,HAD
