Minisector,ALO,PIA,Fastest
0,297.90639228799273,293.6617989802215,ALO
1,217.11934875943413,214.0401143390891,ALO
2,229.0540914499734,228.02306866767955,ALO
3,276.8397590499766,272.03608177990606,ALO
4,255.8835579302603,244.8587182567493,ALO
5,124.30794168354858,130.72351193444513,PIA
6,215.02034943472316,214.0267647127321,ALO
7,259.8685587790505,260.17706691735015,PIA
8,246.45405994314464,252.97666059682538,PIA
9,244.00429489631833,239.778093900448,ALO
10,275.0069468073439,272.3948596491159,ALO
11,292.22218067555553,286.6804777085714,ALO
12,299.81751491742,292.88449305971017,ALO
13,301.7314044337397,296.6963409923186,ALO
14,297.4502138377335,297.5307404173913,PIA
15,254.8498521138189,265.0940868637681,PIA
16,244.766862488658,248.94949114237787,PIA
17,279.63676206560535,274.83503836767676,ALO
18,287.1603615425837,284.98248792665595,ALO
19,161.66598786574755,173.492052434709,PIA
20,210.96600402068026,209.87292869356583,ALO
21,188.68841130091604,206.76611390353017,PIA
22,145.59559190554305,133.51516443483976,ALO
23,242.79787736684145,230.5807014897536,ALO
24,283.46329660709506,276.00432248765753,ALO
25,294.8214290285714,289.33818304,ALO
