Minisector,PIA,STR,Fastest
0,301.2524158813096,294.47306807709094,PIA
1,199.62330036145858,222.01189827675424,STR
2,236.03623348053333,229.24083685614286,PIA
3,279.9132611963709,273.0705314607456,PIA
4,238.31397577885224,252.0263347307231,STR
5,129.66536719063325,127.59271541280218,PIA
6,223.15131240551764,207.80210125852764,PIA
7,268.9375859063102,261.14285132883117,PIA
8,252.5363116856543,249.16771756999563,PIA
9,250.1593874609072,237.9816323564983,PIA
10,280.17433708259745,274.81700852017315,PIA
11,295.01169942689495,291.65060716801764,PIA
12,305.02270921625393,300.9250351636898,PIA
13,309.6212120242424,305.2674088939271,PIA
14,308.41293866666666,305.0948612977778,PIA
15,270.678614040381,256.22313203070706,PIA
16,253.32322842080785,242.89045957397005,PIA
17,283.46486187247166,279.25957170939336,PIA
18,294.40463902056825,293.5239758146952,PIA
19,155.3005154443908,160.42152362962963,STR
20,213.57391159586493,204.84666962656098,PIA
21,188.24514302205293,197.72788097628592,STR
22,138.31533166975507,141.58883038638334,STR
23,238.12001956234218,230.85568984906376,PIA
24,284.21977788011844,279.00421493243664,PIA
25,,292.8250002962963,STR
