Minisector,OCO,RIC,Fastest
0,303.43880928761905,303.3605354819048,OCO
1,303.7933866751323,306.00172311578945,RIC
2,296.444647469407,298.9298538160618,RIC
3,225.06250141866664,221.7588164923077,OCO
4,221.88109376201135,220.99794967128142,OCO
5,117.7037523166326,118.20713243809216,RIC
6,221.9309293805259,220.59276558017956,OCO
7,262.49927462028984,263.356158515942,RIC
8,215.64967206165213,215.42876382290936,OCO
9,119.72315808302183,121.68663993080455,RIC
10,237.5830904772847,237.00989431746032,OCO
11,251.64275443809524,249.55634133333334,OCO
12,135.84881818785541,133.2031826805475,OCO
13,221.2229675520501,217.25390749440183,OCO
14,264.8660696029227,264.8469693090909,OCO
15,221.25533864409172,215.57904102181269,OCO
16,169.7942721589004,168.44081289476335,OCO
17,239.84486667439614,240.91963148525042,RIC
18,125.22443397138892,121.89669630848584,OCO
19,148.42920971853903,145.89869338715283,OCO
20,202.60507770884354,205.31343446554348,RIC
21,255.12776606605814,256.85981467073293,RIC
22,272.02182496507936,273.54366612266665,RIC
23,283.62036635695443,284.85244612250034,RIC
24,293.515459189891,293.7548329386667,RIC
