Minisector,PER,SAI,Fastest
0,264.3578407137948,263.1427872,PER
1,249.18256434567903,248.65540424691358,PER
2,167.1611354211795,169.20486998696742,SAI
3,247.49314199161904,247.3744434093827,PER
4,272.2218410524791,273.34916612266665,SAI
5,196.46068105770308,198.17621330935253,SAI
6,122.56149049938756,125.3044646463003,SAI
7,160.32711253853657,159.3104503301927,PER
8,258.01252978649603,256.34986779674364,PER
9,176.01897047017542,190.050252352272,SAI
10,185.3881872980213,181.5479179968688,PER
11,259.2684995413333,252.76518546229858,PER
12,249.8489401914779,244.12669415384613,PER
13,257.4711305377289,260.83254562439544,SAI
14,284.0690520950964,282.80935151839805,PER
15,285.1790388935818,293.49275501449273,SAI
16,150.78570367976567,152.83498736161837,SAI
17,239.0538678095238,233.54075450007912,PER
18,284.71642824986293,281.7252738060167,PER
19,296.99829541818184,296.04642834285715,PER
20,300.53219684848483,300.05188810037515,PER
21,304.9866539877672,305.2087866993197,SAI
22,154.48797544977646,173.3326315222063,SAI
23,92.28786225014181,92.90886415335491,SAI
24,180.45333113904763,166.4134262050686,PER
25,246.791664,241.09166613333332,PER
