Minisector,LEC,STR,Fastest
0,287.14641162220744,284.5735228014629,LEC
1,299.06067442756085,290.29798302645503,LEC
2,170.29278265238096,167.145490332754,LEC
3,216.3780228119779,216.10799863466664,LEC
4,266.46944422312924,269.58075306666666,STR
5,286.0276316631579,289.9930724625624,STR
6,292.8729364421,293.18250687830687,STR
7,192.8547425360544,176.80806950665507,LEC
8,119.23103204092345,120.66165045744229,STR
9,244.5119613315193,246.62427018719768,STR
10,278.00921202821104,280.9962713263158,STR
11,291.6493420350877,288.67807023157894,LEC
12,149.55693604879886,144.08286135205688,LEC
13,185.9105863782313,188.85388881109634,STR
14,255.09547828451562,245.27076831888562,LEC
15,205.42377637384988,204.56153142857144,LEC
16,215.252069145944,209.06030927302334,LEC
17,219.865117128634,210.12873236043956,LEC
18,241.53211575411254,240.25855715941873,LEC
19,272.1822286016052,272.7210493641143,STR
20,289.08128718005315,290.3570024694678,STR
21,267.65760655535365,254.02468850559256,LEC
22,225.09378870685535,210.63942490842493,LEC
23,199.32751844102566,197.0100389133866,LEC
24,259.8196901774454,259.0477946426089,LEC
25,278.16666879999997,,LEC
