Minisector,VER,NOR,Fastest
0,297.3660486218552,292.4475,VER
1,298.231140322807,289.36646836825395,VER
2,298.0859649122807,278.27599212698414,VER
3,237.86428717404294,228.72056700524047,VER
4,235.689080595482,231.97238142171426,VER
5,114.06216428178999,112.65966127644866,VER
6,216.5865651359961,224.05385726419752,NOR
7,269.6600384,273.182168530656,NOR
8,235.8200293025349,233.5036923062857,VER
9,114.80824989746492,114.30845300681939,VER
10,235.84992888076192,237.0260411111111,NOR
11,253.9077048996234,253.31305916554865,VER
12,137.47156940436804,137.82041949360396,NOR
13,213.05251440311253,213.39644977777778,NOR
14,270.5224207746032,266.7621210666667,VER
15,234.18849873066665,229.5648144847253,VER
16,159.74863455022813,157.37186477798983,VER
17,241.89166715362316,236.91842357639075,VER
18,128.376485640551,125.67068941544818,VER
19,148.0042577142093,144.05552112761904,VER
20,188.88625123555553,183.5579806353217,VER
21,258.6791045643318,257.50634017391303,VER
22,275.9346373514739,274.95876266080165,VER
23,283.5873016888889,279.3869896707483,VER
24,290.2979465447619,288.8827066706767,VER
25,,292.925,NOR
