Minisector,VER,OCO,Fastest
0,263.4623161025641,259.68195693524035,VER
1,242.463494919224,239.2350978503401,VER
2,165.87376975326393,159.31001238498462,VER
3,247.07869841558048,245.22547953813702,VER
4,271.99168525071246,268.56983327085715,VER
5,189.69254587851788,186.18690517333334,VER
6,123.17801765773167,121.09792780883846,VER
7,158.44067043857814,153.39265866666668,VER
8,257.7945480044403,253.25432642461539,VER
9,180.45584116138997,178.57785111578949,VER
10,186.1696618186334,175.45593605774434,VER
11,256.57983045860806,252.40966660266665,VER
12,238.63762371160496,233.65728086123275,VER
13,259.55549952,255.94743577435898,VER
14,284.0659742726174,283.3303046062374,VER
15,282.9485525333333,283.8445652405797,OCO
16,150.31494052479346,144.0570126007371,VER
17,236.14466355132276,232.79654173272655,VER
18,283.0586905419309,280.379835832824,VER
19,295.788945538322,295.41739130434786,VER
20,300.23246734545455,298.8440901108295,VER
21,306.1749349302371,299.2295454545455,VER
22,151.16695354112554,160.08246266770092,OCO
23,92.12561365321548,91.76083157210908,VER
24,180.88157831534392,169.75268122326506,VER
25,247.12500053333332,240.96428799999998,VER
