Minisector,BOT,HUL,Fastest
0,265.85313983917,268.8063183214652,HUL
1,132.64810804272074,138.10467813226762,HUL
2,190.8997932464473,189.91702436736546,BOT
3,243.75711251485163,243.57009498817987,BOT
4,263.5838709578589,261.0875853823129,BOT
5,180.66554935587445,175.00854845398877,BOT
6,148.1370640546215,144.71626596246384,BOT
7,178.36121414016776,176.44821302857142,BOT
8,105.20187160171066,102.02785079304005,BOT
9,77.83307537712385,76.82925138266971,BOT
10,92.23332940912485,91.98714571521153,BOT
11,167.63527858588208,174.6436099958929,HUL
12,240.85249962666666,243.2304919072314,HUL
13,269.10986191826885,268.15261769050664,BOT
14,281.19314210504433,279.7602578051282,BOT
15,129.20753545432248,115.57711838819469,BOT
16,122.42780096377828,135.13982372917434,HUL
17,191.30124790634102,196.08560364181065,HUL
18,184.75286137928498,195.92238152635971,HUL
19,224.15087317585602,220.69339381618326,BOT
20,132.0220034364532,135.11115114140676,HUL
21,125.87665131755179,115.00112860927523,BOT
22,86.81837839595799,89.92704517986459,HUL
23,185.44616120701755,190.0179434530174,HUL
24,249.66533532322464,247.84214814437556,BOT
