Minisector,LEC,SAI,Fastest
0,303.294194976254,292.58690556341446,LEC
1,318.1464255775438,304.38941662400003,LEC
2,324.9298120894074,309.2961768451019,LEC
3,326.8230468324066,313.6342341461612,LEC
4,195.9873971419666,196.38196484403827,SAI
5,205.2692687441013,211.53151296653593,SAI
6,264.66682779602337,268.18401764,SAI
7,263.82652485229437,274.0803927754377,SAI
8,185.52445069985993,183.19219735633746,LEC
9,150.65282773101455,139.44622146967092,LEC
10,173.96397438943129,177.0124808606419,SAI
11,256.4891595293906,258.840893999407,SAI
12,254.28578914708993,247.24602235151514,LEC
13,227.77452725307361,226.68169330943343,LEC
14,270.25034930391166,274.2382302780952,SAI
15,172.6182788606277,160.99471224532823,LEC
16,212.13593694099487,220.1038624993789,SAI
17,244.66366116968945,237.91844156401578,LEC
18,134.21628934027916,133.08347208885436,LEC
19,235.55105611550033,242.61237799561025,SAI
20,276.9492025070051,283.00227927131823,SAI
21,242.6318495292904,251.33920702187285,SAI
22,136.84644867794,135.92362162193695,LEC
23,209.3381590561286,206.43243380173382,LEC
24,268.74602202666665,272.5644872960111,SAI
25,282.5833333333333,,LEC
