Minisector,PIA,LAW,Fastest
0,265.28141422603176,253.91330740500052,PIA
1,128.51328080352368,132.23555669093906,LAW
2,269.21036033352954,265.87220034552115,PIA
3,309.7587873870222,309.1704940309286,PIA
4,309.9842158692634,308.3874570910476,PIA
5,318.1068576740741,317.0941234921102,PIA
6,321.7318804875953,321.2521738666666,PIA
7,323.79041674666666,316.4749066257396,PIA
8,207.39833550213098,202.39098846753248,PIA
9,205.21819333433973,202.98742857959118,PIA
10,183.72293504038095,187.94407273325098,LAW
11,177.65257183202618,170.33654518744436,PIA
12,260.90049782652017,258.0314804486799,PIA
13,285.4954483075057,274.8317147191362,PIA
14,289.52743444996634,281.0355056582313,PIA
15,280.2491628232417,263.4291381349356,PIA
16,174.11882506135643,177.02493479065157,LAW
17,203.09663681519945,196.85890548522042,PIA
18,252.2693155661612,242.5292338178522,PIA
19,294.2863159398429,290.6965977894016,PIA
20,312.79918243959634,310.88664120242424,PIA
21,317.3132608556522,316.2388816628916,PIA
22,315.0841150770794,312.73862478061614,PIA
23,257.4264329829481,266.31156386871993,LAW
24,120.26167015727673,123.26244312148474,LAW
