Minisector,NOR,ANT,Fastest
0,285.46700840749514,283.09225110926405,NOR
1,301.6161456875421,302.2487745246753,ANT
2,244.9159169211487,239.97642688321832,NOR
3,115.45057504045144,118.58323266249505,ANT
4,133.67890977759498,130.29623368145602,NOR
5,252.1883924063492,249.33761262960954,NOR
6,255.29882364305624,270.7949410660652,ANT
7,125.08584309850006,125.33102862080831,ANT
8,247.19938513720928,241.64152218884436,NOR
9,263.8730030015855,253.83228008527473,NOR
10,228.61843533964174,211.42941989936747,NOR
11,138.583409867183,140.60073413859382,ANT
12,204.33840450113584,203.08459275275447,NOR
13,268.00155831914753,267.48391401445946,NOR
14,117.78571269214511,121.01532725646138,ANT
15,188.70403948175087,189.84574826002904,ANT
16,262.79619912079727,261.59326681904764,NOR
17,291.4794025991111,291.8332663809129,ANT
18,304.1305407753005,306.15190490819043,ANT
19,311.1918274077193,312.3901304639488,ANT
20,312.52293348090427,315.36072533333333,ANT
21,187.3929429334588,183.81258133026827,NOR
22,144.33539512123676,135.6408839335924,NOR
23,209.754814233934,207.54361447955543,NOR
24,240.01577223987118,235.18413000767595,NOR
25,273.14444373333333,268.75000177777775,NOR
