Minisector,SAI,OCO,Fastest
0,289.7888158315789,297.61865716826765,OCO
1,215.89194099858668,218.25578798323806,OCO
2,140.9790507619146,140.43081538126344,SAI
3,216.40707773727536,217.65616678400002,OCO
4,149.63948955556882,158.08402565390742,OCO
5,173.3418596241818,176.53110802870026,OCO
6,246.67023842539683,249.59297052154193,OCO
7,269.22003951746035,272.3152813237182,OCO
8,275.4412949370197,282.30812054923587,OCO
9,246.74226133333335,258.5725,OCO
10,233.32155733333335,239.02682300440586,OCO
11,233.17567513273772,238.28558161329775,OCO
12,204.4575692380178,202.51277529046257,SAI
13,138.151121667523,135.78688316545023,SAI
14,144.7201643944329,141.6650877860641,SAI
15,179.58602941271354,180.63579954128284,OCO
16,250.97499900952383,254.63845180190475,OCO
17,243.40332202822398,239.4607953939394,SAI
18,114.51125400415657,114.36572982428714,SAI
19,195.03993138977498,199.53522185179094,OCO
20,191.40160844857513,190.1703428953956,SAI
21,227.95900674120082,226.99296536796538,SAI
22,259.60053861801157,261.118460444384,OCO
23,275.5608691582585,278.44265173623063,OCO
24,284.52675447017543,290.1828703407407,OCO
25,286.85,,SAI
