Minisector,ZHO,TSU,Fastest
0,312.47390310520433,295.7463637754459,ZHO
1,196.05563406560847,200.87415475396807,TSU
2,224.85678196327075,230.29751939050504,TSU
3,280.25776474367126,275.1678074344194,ZHO
4,234.70272305117652,230.7382967798942,ZHO
5,127.24269127398257,125.36407309677442,ZHO
6,212.2021503674258,212.08786824036787,ZHO
7,262.3414091076274,256.42143497910087,ZHO
8,238.58470147415778,240.30652134175338,TSU
9,233.30992741217287,238.65254614428784,TSU
10,272.4783134554497,273.37110863178856,TSU
11,288.10320100792006,290.7681794677339,TSU
12,301.90897727777354,298.60823170612247,ZHO
13,313.86011390640573,301.5525574441731,ZHO
14,312.66188007451353,299.8013944239674,ZHO
15,251.13016668850793,253.93324398184544,TSU
16,242.13876770861046,245.50062686572142,TSU
17,283.75781738885485,277.67764363174604,ZHO
18,304.85226809753186,285.98647156630403,ZHO
19,154.12798015771514,154.76476764567795,TSU
20,204.17678657035225,213.70273578849265,TSU
21,176.86060417174917,172.97744853313893,ZHO
22,143.71469927541284,146.98374974353928,TSU
23,239.42445204392996,239.21744503180375,ZHO
24,293.2867593101916,282.0182992593743,ZHO
