Minisector,BOT,MAG,Fastest
0,258.6628349841239,256.0406686857982,BOT
1,209.1437623693201,205.7281274724431,BOT
2,224.2703172068032,223.03729647682061,BOT
3,266.57360612400436,261.5913223602083,BOT
4,273.09466413744644,272.077852212801,BOT
5,217.22456665503597,216.32306079429674,BOT
6,98.38561206148566,94.841200018062,BOT
7,188.8903772243922,191.79776517089564,MAG
8,273.42540548124634,277.5626802283616,MAG
9,297.77691103906983,306.98997217169364,MAG
10,304.4610901894737,319.764203077904,MAG
11,297.65161518730156,315.46749709569985,MAG
12,113.07226781475809,104.9528044639237,BOT
13,216.9861917548275,209.8846228801867,BOT
14,277.51787400075426,276.37630498739384,BOT
15,292.4862857557217,297.1773652310497,MAG
16,222.2237598726395,208.6449451458812,BOT
17,126.37654991609082,121.6412547645818,BOT
18,154.11792814062352,151.55057230601452,BOT
19,256.3113366350419,256.23500534852843,BOT
20,157.22227806144446,150.00450502524404,BOT
21,130.28649084036184,126.63297214799063,BOT
22,208.18951081506617,201.82814423234595,BOT
23,202.95049222583194,201.27924814969842,BOT
24,166.2614396802663,163.0188893691908,BOT
25,229.9500032,,BOT
