Minisector,HAM,VER,Fastest
0,257.01002321927496,253.3297097388342,HAM
1,219.5214556417249,208.27424786717566,HAM
2,222.62552729446168,220.61895174251248,HAM
3,262.0668037610936,258.40474888423904,HAM
4,271.2928571936508,269.77716618552864,HAM
5,227.36161983443483,210.90782666559207,HAM
6,98.95305988530684,97.86393107573402,HAM
7,176.42323878478302,191.90869403978144,VER
8,275.3923833267186,275.51417929122135,VER
9,302.21799457684085,297.4157405629629,HAM
10,311.9417944916567,306.39889735049337,HAM
11,309.9448530196079,301.0952810745984,HAM
12,109.50505600517165,110.40119679750237,VER
13,204.38135895624995,214.32692704730442,VER
14,275.19123905064464,274.44313305929506,HAM
15,296.4771640407554,296.50875698559776,VER
16,236.12682350083958,220.34161972487158,HAM
17,125.11095914788334,125.70255623422733,VER
18,152.2784663151122,154.6209839769017,VER
19,255.85914020526903,250.388232103897,HAM
20,154.02190710032937,152.25683163967287,HAM
21,131.5010691536034,129.0001441376535,HAM
22,204.83444469719197,207.1650871470489,VER
23,205.1563042625892,204.5381874031979,HAM
24,170.2845628896982,171.9316350214195,VER
25,230.66108822464582,,HAM
