Minisector,OCO,LAT,Fastest
0,272.32795919774844,278.9925795317216,LAT
1,292.3969236021027,302.29678315153245,LAT
2,269.02184759259256,278.40791201438105,LAT
3,153.88721159441795,146.82908239563858,OCO
4,194.28856086629148,179.05796073785848,OCO
5,167.63763148839507,152.7413799494184,OCO
6,157.8368713331189,152.56690478975008,OCO
7,188.94413437908497,183.51261495636942,OCO
8,239.41105944151755,240.4024053771257,LAT
9,217.2903833150019,227.479153134255,LAT
10,137.37948259452585,136.07568782265662,OCO
11,218.50089222128221,213.67580112786354,OCO
12,110.56909520038471,100.04766859194,OCO
13,211.00423504449543,216.7189277516255,LAT
14,263.67687599891156,272.96699674654235,LAT
15,270.5570544216133,271.2691089773865,LAT
16,169.98465209933536,154.04381965240626,OCO
17,156.5931405739305,159.04322414647973,LAT
18,251.79931411128868,258.81577468541497,LAT
19,280.88914583141366,289.96433830772486,LAT
20,293.88332070175437,303.824234685876,LAT
21,282.00306225452897,268.94551966959983,OCO
22,218.80932935520738,204.9412216791712,OCO
23,101.37420197598857,97.92502110579213,OCO
24,225.2609305940983,229.29303494984129,LAT
