Minisector,ANT,BOR,Fastest
0,298.08341069942855,299.5094079049624,BOR
1,224.60580964699747,200.70969383167062,ANT
2,215.88179158349692,219.59347437013332,BOR
3,276.3720800797166,268.31183967723143,ANT
4,261.0339271732837,239.4017250816,ANT
5,122.92872855765228,124.82734838513989,BOR
6,198.63653363633335,198.2339859536497,ANT
7,251.12956700350375,243.33950979930987,ANT
8,239.62376024324516,234.40985024298047,ANT
9,239.9801585567753,238.87102331081306,ANT
10,286.91248193593185,286.13242507928305,ANT
11,305.4735189155556,308.59544438526797,BOR
12,317.72630344536566,318.70550472814193,BOR
13,314.2719035324852,314.11905098542115,ANT
14,307.6294067274854,302.1433584942356,ANT
15,263.88251192226363,253.9062054844698,ANT
16,240.12924073818067,238.83532474510827,ANT
17,281.1363081764182,277.9552575927438,ANT
18,288.2191182440573,286.3435832208694,ANT
19,156.87959282443512,151.6758916728177,ANT
20,200.10540591817912,194.7776039724755,ANT
21,179.5973548885397,172.22349197913414,ANT
22,130.28863841828968,135.5678355427783,BOR
23,237.2003449444953,233.9764519196313,ANT
24,285.88664082984127,286.69464114103437,BOR
