Minisector,BOT,VET,Fastest
0,204.0459168102741,188.4339342253185,BOT
1,266.27914142606835,265.5040967600445,BOT
2,291.4684409216386,301.3273142814815,VET
3,291.0616788491228,306.30370655856177,VET
4,162.4381593529809,154.1082589313768,BOT
5,227.24786439469813,219.76803897418623,BOT
6,274.4949549473684,282.8460191893134,VET
7,293.6158513562212,305.5273144296296,VET
8,294.5251653170777,316.0545524433814,VET
9,171.38110653497662,188.76800533075038,VET
10,131.0189013777353,107.53584422646908,BOT
11,252.28263563467038,247.00984683636364,BOT
12,283.8742844569248,296.74779621954235,VET
13,293.1084324063492,313.26868056200095,VET
14,147.7170397063275,146.44931719298248,BOT
15,192.19297847357666,160.41488228746908,BOT
16,257.88363051428576,251.2062064979592,BOT
17,210.97594802076773,197.07223782161282,BOT
18,217.57773711694495,190.77380780952382,BOT
19,222.45513995171717,204.86228048157153,BOT
20,243.0469290286177,225.75482333428636,BOT
21,274.44309472,267.3834921932187,BOT
22,290.1148854062461,287.54730538345865,BOT
23,270.87273965465346,264.7213316063492,BOT
24,226.38217329801256,212.34166655999996,BOT
25,190.20920442933436,,BOT
