Minisector,PER,RIC,Fastest
0,289.5539568664953,294.7381722548303,RIC
1,297.9581348368254,303.8365075809524,RIC
2,302.2332421853109,309.9431735779389,RIC
3,303.295312647619,311.10849189587304,RIC
4,200.4455977928109,189.2219681229448,PER
5,101.5643731168753,100.01747614036266,PER
6,203.3904619950357,202.4369753435166,PER
7,255.22438495002226,255.16651647942368,PER
8,279.7882814,281.8884331610327,RIC
9,287.21889062603174,291.5937514666667,RIC
10,153.3325166941004,150.11660770539683,PER
11,172.69594438446137,177.0918512643335,RIC
12,242.59756753983842,239.55070845691546,PER
13,236.26018471111112,237.677629922807,RIC
14,154.0106942408528,151.52239818275572,PER
15,218.3720715355434,213.3017691253975,PER
16,261.52708378095235,260.4939129950867,PER
17,281.2686844309294,281.8303566095238,RIC
18,292.0681429648743,293.9653348111557,RIC
19,294.9050001066667,301.2464288,RIC
20,280.8477772088889,280.81830198272394,PER
21,154.92553949504662,145.63198368096127,PER
22,208.9902780952381,206.94018003809526,PER
23,257.46789388649677,256.45402529901787,PER
24,280.53102670476187,280.98949799449247,RIC
