Minisector,BOT,NOR,Fastest
0,291.9668135193074,294.85579257824566,NOR
1,307.99184997399414,310.88268996208126,NOR
2,315.7797181124183,317.12822205155555,NOR
3,305.8855074116402,301.7560428152381,BOT
4,158.7099092050373,159.0908630941436,NOR
5,196.65783638934775,198.51447352156373,NOR
6,221.00897482418338,212.9500325185185,BOT
7,259.8398261090909,256.8361716709849,BOT
8,233.23529009168524,243.04690050521037,NOR
9,148.92379087199998,150.52000475515646,NOR
10,212.8320199137136,212.97613550266766,NOR
11,128.0003694670356,125.6076932388765,BOT
12,224.0111093811717,231.42538349124106,NOR
13,168.9912380094173,165.61943252000447,BOT
14,207.15101878825396,215.56839555114874,NOR
15,212.69539730498337,217.37730681565358,NOR
16,248.4758746252588,251.22229221044736,NOR
17,277.45169717530865,278.07139905142856,NOR
18,146.45202772687725,143.76954491778702,BOT
19,156.426512165772,168.25189750389143,NOR
20,134.7822784856508,138.91543716222543,NOR
21,147.67034421464416,145.98997257653662,BOT
22,107.36878308927382,105.3992966816138,BOT
23,209.23118946454926,220.6745866752877,NOR
24,260.9284531953719,260.953219469932,NOR
25,,273.55714194285713,NOR
