Minisector,RIC,KVY,Fastest
0,294.7381722548303,311.47388949333333,KVY
1,303.8365075809524,325.8792291185298,KVY
2,309.9431735779389,334.7996795897436,KVY
3,311.10849189587304,334.578621031746,KVY
4,189.2219681229448,183.68008223492063,RIC
5,100.01747614036266,97.09501023955463,RIC
6,202.4369753435166,204.74067183961247,KVY
7,255.16651647942368,261.2803601793876,KVY
8,281.8884331610327,295.4538892088889,KVY
9,291.5937514666667,298.54813227933914,KVY
10,150.11660770539683,142.47167962628131,RIC
11,177.0918512643335,174.48485990347723,RIC
12,239.55070845691546,240.57069430140055,KVY
13,237.677629922807,230.86654010639688,RIC
14,151.52239818275572,143.7174258904315,RIC
15,213.3017691253975,211.32162437819838,RIC
16,260.4939129950867,261.59877477647063,KVY
17,281.8303566095238,285.0510999661129,KVY
18,293.9653348111557,295.96972238222224,KVY
19,301.2464288,300.541011868177,RIC
20,280.81830198272394,270.2560998412698,RIC
21,145.63198368096127,143.7338821244719,RIC
22,206.94018003809526,214.12171151077692,KVY
23,256.45402529901787,264.94333832061756,KVY
24,280.98949799449247,293.75476266666664,KVY
