Minisector,LEC,PER,Fastest
0,303.294194976254,293.4756303090128,LEC
1,318.1464255775438,307.3522865653781,LEC
2,324.9298120894074,313.49293205360607,LEC
3,326.8230468324066,314.7105764319533,LEC
4,195.9873971419666,193.964190749899,LEC
5,205.2692687441013,211.3323949409994,PER
6,264.66682779602337,267.4414868525205,PER
7,263.82652485229437,270.4520180462585,PER
8,185.52445069985993,185.42107849932833,LEC
9,150.65282773101455,143.31405676486094,LEC
10,173.96397438943129,188.57348399130368,PER
11,256.4891595293906,260.80288764245654,PER
12,254.28578914708993,249.63836290666669,LEC
13,227.77452725307361,235.72831938726284,PER
14,270.25034930391166,275.1023289102453,PER
15,172.6182788606277,162.82277988176628,LEC
16,212.13593694099487,219.00961107602052,PER
17,244.66366116968945,221.04592602110867,LEC
18,134.21628934027916,134.8357319696828,PER
19,235.55105611550033,248.5370846446413,PER
20,276.9492025070051,283.542831375196,PER
21,242.6318495292904,217.65929406410712,LEC
22,136.84644867794,140.78715508007548,PER
23,209.3381590561286,220.06453868509263,PER
24,268.74602202666665,272.12410802886,PER
25,282.5833333333333,,LEC
