Minisector,LEC,PER,Fastest
0,256.59767523266186,257.607860972715,PER
1,199.59420453590857,203.39409099066654,PER
2,219.97976111275182,217.84086896457652,LEC
3,263.0135812838626,260.2921781719747,LEC
4,276.62713620666403,271.41911138475893,LEC
5,220.55879991929052,212.4578359191473,LEC
6,95.58601523534843,90.83909475388026,LEC
7,183.33054156703884,191.48417147020228,PER
8,277.80128997381615,282.3112782791717,PER
9,302.90931325956126,310.52948501104663,PER
10,314.61240529653867,322.849997919897,PER
11,314.56187091420634,309.85379694837513,LEC
12,107.32318200347498,102.0512430208328,LEC
13,216.05137497709512,214.69553250889825,LEC
14,280.55821839586275,281.3472879120169,PER
15,299.0049600408694,302.8729676098316,PER
16,234.37933299482734,208.66094826534828,LEC
17,121.96724598894875,122.18556587556247,PER
18,144.20047887949835,153.9449240196243,PER
19,254.28992479815963,261.163528964758,PER
20,146.89908904814735,148.54422874294468,PER
21,124.53250141395279,125.79421075486842,PER
22,194.89136607608322,207.34709366165947,PER
23,194.56274017809577,196.01321180312624,PER
24,162.99538370380307,161.8179779008274,LEC
25,231.90416106666666,,LEC
