Minisector,RIC,RAI,Fastest
0,261.3164120054422,272.0035715809524,RAI
1,134.02802911913852,137.34774477781704,RAI
2,194.0853781879604,187.58442363597885,RIC
3,242.61696396190476,244.21888737457954,RAI
4,254.19356485612244,261.9355166359383,RAI
5,170.7736026767033,183.5554456931743,RAI
6,143.24121535239988,142.92199292921381,RIC
7,184.94261758899006,179.03926836490146,RIC
8,101.6213110836332,101.86926809196763,RAI
9,77.40151233630291,75.04137355276536,RIC
10,97.61694411182772,91.98438711766441,RIC
11,180.87424048039966,173.09311865253758,RIC
12,241.78093097384647,245.12979209403463,RAI
13,265.33571405714287,270.8265695419545,RAI
14,276.31039059231216,277.5648530657508,RAI
15,123.45754444937809,109.31519040693343,RIC
16,136.19045034392076,143.11682656058133,RAI
17,188.82459208822056,191.3833619829325,RAI
18,195.63822846730417,197.25189088258438,RAI
19,215.04879122170126,218.38942774986938,RAI
20,136.21991470579263,130.13610692354544,RIC
21,121.20984361151805,117.14942355301586,RIC
22,92.87273681813069,89.94469448119565,RIC
23,190.37708432592592,190.2494708152048,RIC
24,244.14918304676894,249.96808074285715,RAI
25,259.38,,RIC
