Minisector,SAI,GAS,Fastest
0,283.7711319234841,283.73920494545456,SAI
1,299.1244049777778,298.1104165333333,SAI
2,305.8952380571428,303.6355159873016,SAI
3,309.09623598364595,307.01666672,SAI
4,256.3494314249625,255.37682426817858,SAI
5,191.46725354300716,187.94938814175381,SAI
6,255.2955627146123,255.06790967708022,SAI
7,282.59571977868484,281.04020112384,SAI
8,215.42186084377298,202.96555615999998,SAI
9,206.30871036952382,213.9534922552583,GAS
10,137.18303057394638,139.4721026268155,GAS
11,243.39744641074438,243.73455201309852,GAS
12,275.39564389961566,274.2624815143143,SAI
13,217.15511983774564,219.0196739006084,GAS
14,260.31980119432416,261.969047115528,GAS
15,233.00545021538463,232.28035347692307,SAI
16,178.6510677943342,176.75630866285715,SAI
17,257.73858652753626,255.06778734480937,SAI
18,151.64731462309933,148.75885328120657,SAI
19,204.4091511393674,205.23848362479518,GAS
20,270.0975123406328,270.2323048380952,GAS
21,289.35436500317456,290.81439890942613,GAS
22,157.2198352896661,159.31071520423282,GAS
23,176.5262807927718,176.36160061842918,SAI
24,256.41511910579635,255.41795677747953,SAI
25,,275.72500053333334,GAS
