Minisector,RUS,HAM,Fastest
0,277.9330932276543,276.66711244865496,RUS
1,303.36295900734694,309.8251037933333,HAM
2,315.944142934026,331.3319752,HAM
3,323.6873304302155,342.20424134564104,HAM
4,326.20944041295235,344.9798610666667,HAM
5,329.08337721008405,342.9752383085714,HAM
6,202.1230960326041,214.99552427189025,HAM
7,108.80412694395636,106.9852724141394,RUS
8,192.19309991658628,193.51578229769697,HAM
9,261.7201061948773,267.65871776374246,HAM
10,290.7011537723077,296.38563117475917,HAM
11,162.23741296803843,162.45006444421358,HAM
12,99.43098763612647,95.21401054297311,RUS
13,116.46206075204458,121.21367615601942,HAM
14,221.08059703161905,216.87539193970676,RUS
15,193.11063609015875,184.38240064427802,RUS
16,225.18371546174606,220.49933955355056,RUS
17,183.88795892110522,181.06750346231294,RUS
18,242.56783323846872,229.80723551782316,RUS
19,280.4236399607018,274.11415301746507,RUS
20,241.89883562426067,236.1065310256085,RUS
21,150.51136990355934,143.93191470526156,RUS
22,98.35343960674523,96.40422618931807,RUS
23,126.63027973090453,126.7683639995325,HAM
24,228.20143461280563,226.28366578544365,RUS
25,257.8045463272727,258.39749952,HAM
