Minisector,NOR,LAW,Fastest
0,261.43471986571427,257.07272363512044,NOR
1,137.26716924461698,134.03212509799204,NOR
2,204.06504139174604,208.1961265432381,LAW
3,249.06726592101586,246.47930254448485,NOR
4,258.70380169329286,260.62675124755583,LAW
5,181.4441351695238,176.51397542508948,NOR
6,157.13789951301126,147.77498335691092,NOR
7,194.14020743472682,186.7796686705325,NOR
8,107.80194275138942,103.87422829866178,NOR
9,74.9008318690053,73.5205762512512,NOR
10,96.69577175041796,97.78492455067592,LAW
11,186.2637356379824,186.06201040056692,NOR
12,250.0115560391111,244.48574971540089,NOR
13,271.6505372685981,266.05425676059645,NOR
14,285.0679167827552,274.3505039615246,NOR
15,109.44098527034922,102.34135497279038,NOR
16,155.42655464498037,159.5657573848119,LAW
17,188.09187277034025,181.99207420836893,NOR
18,208.20487481400562,199.9179427242399,NOR
19,223.6178671514074,217.5820581647059,NOR
20,146.20897148713817,137.7003381311699,NOR
21,111.5486588148157,111.69969151807588,LAW
22,105.10516563800404,98.93108534047863,NOR
23,204.79994988395123,197.91987234280063,NOR
24,258.2162166933333,247.79666612,NOR
25,266.8750034285714,262.6,NOR
