Minisector,VET,HUL,Fastest
0,263.3618000555664,257.6965282573545,VET
1,137.7437686230492,134.4453235510204,VET
2,269.7214565591658,266.2716490269624,VET
3,311.94790381449275,308.7768760496894,VET
4,310.69565973333334,308.7513128237881,VET
5,319.2037202603174,316.64422115555556,VET
6,324.8216189504817,321.848462215873,VET
7,324.9069199038638,317.4505517513225,VET
8,207.35600454932361,207.04428065957984,VET
9,194.4208238715452,191.54166555428571,VET
10,191.60331259205512,189.54866654847376,VET
11,165.58843211615186,164.11862380794437,VET
12,255.19109230344827,248.06529405957448,VET
13,278.6398809904762,269.60654834285714,VET
14,283.1755648781441,275.37574987373887,VET
15,288.43808672429793,276.46095847808937,VET
16,184.55220620429975,183.46865483670152,VET
17,194.23409917693692,192.88052454603175,VET
18,241.23899150207626,238.89605208142078,VET
19,289.6530296146291,283.734744081717,VET
20,313.4802518285714,307.2471067897683,VET
21,322.23280123059163,316.46194999744796,VET
22,321.2600753602531,312.3505954920635,VET
23,269.97344493597234,265.52939549950736,VET
24,116.22946276475056,114.08887245729024,VET
25,,229.6333312,HUL
