Minisector,RUS,HUL,Fastest
0,249.22798026869978,248.61454209890456,RUS
1,286.4059398690909,286.31535082472726,RUS
2,162.51021914266875,178.2430277804277,HUL
3,162.09155814837837,160.97077972577728,RUS
4,256.9855771081674,259.4416705010563,HUL
5,270.0832304619706,276.2485321169474,HUL
6,226.86364209723357,237.12452336575262,HUL
7,209.66118245624472,209.95975845757374,HUL
8,164.31109597418077,158.4897767173474,RUS
9,219.99552183709005,212.83754104730772,RUS
10,275.1685119236117,271.8456297736989,RUS
11,131.92255467900816,131.68506212263887,RUS
12,212.70709382861244,205.6587456193633,RUS
13,279.31414626438095,273.16580344086884,RUS
14,301.26951476680796,297.025411330954,RUS
15,313.12373104,305.9594274312673,RUS
16,246.8527797132446,261.31615358311865,HUL
17,130.93042514834514,125.80969747246502,RUS
18,128.33707062614957,126.87270355794948,RUS
19,119.34781661014937,123.35177293331138,HUL
20,220.808433839095,219.67439106434225,RUS
21,254.0626515801975,259.76011102836395,HUL
22,244.35902265188776,254.64724165808315,HUL
23,218.36502656796534,218.16670051169524,RUS
24,141.68132457601155,139.12678781641355,RUS
25,,209.51430812444445,HUL
