Minisector,PER,GAS,Fastest
0,302.15717588148146,307.237037037037,GAS
1,249.50503154714315,237.9873196057971,PER
2,140.8478406890479,135.86198038563356,PER
3,219.44225071637405,217.26046598095238,PER
4,265.31432513372295,264.9892449515673,PER
5,290.12499976296294,289.29851183068786,PER
6,303.66064859259257,304.4843137254902,GAS
7,277.0922622678848,285.2321744590089,GAS
8,185.1457819505863,171.08694432,PER
9,247.1452399238095,236.76391304347825,PER
10,277.0095116494623,273.5622807017544,PER
11,268.9724078943882,262.4888888888889,PER
12,215.71483323733332,197.78358024691357,PER
13,134.7201892020364,131.14812748339142,PER
14,129.54633823206927,121.66708773606861,PER
15,175.24741599868082,169.94978006040006,PER
16,127.53222354636063,120.56331678405317,PER
17,232.2361063404939,222.541002719884,PER
18,191.0186381453277,187.95017002993197,PER
19,167.4222860810545,154.2486363855887,PER
20,249.16944365714286,246.12301587301585,PER
21,276.9391696679929,276.57826600039743,PER
22,291.79421009634,293.45462957037034,GAS
23,296.8173941333333,303.0273109243697,GAS
24,300.7029411764706,308.13914111944644,GAS
25,300.3666666666667,311.1778246218378,GAS
