Minisector,PIA,VER,Fastest
0,259.31056469960225,259.39958836205545,VER
1,130.4513662348753,134.52099896189628,VER
2,198.8840184152381,200.19395588871575,VER
3,248.42780208586905,246.02512751496997,PIA
4,257.9486094177499,259.736317767033,VER
5,175.25995559546487,190.00827792280703,VER
6,142.87795292536208,154.49279685741212,VER
7,183.1948983103855,187.46818054545454,VER
8,101.82980234772879,106.52264145216806,VER
9,69.45099618545703,76.1136770525547,VER
10,93.19021221136956,98.01278466878898,VER
11,182.5957736182857,179.52588521035923,PIA
12,243.67084433886114,239.3731956915873,PIA
13,269.559938416459,256.5266749212314,PIA
14,274.8040012994687,267.6604163733333,PIA
15,113.97275405609935,117.5230717476772,VER
16,151.10136765835048,141.27157311064005,PIA
17,184.77410980078227,191.21562313757727,VER
18,201.84922968055002,200.77132544307884,PIA
19,205.4022228454902,220.82046862391536,VER
20,136.45800176488513,137.96313929422223,VER
21,108.14458452653595,119.79391309659864,VER
22,96.20420123716404,91.62174066762275,PIA
23,197.46995666240898,191.42521117553883,PIA
24,251.18051524155487,247.20373024639133,PIA
25,,263.24,VER
