Minisector,GAS,OCO,Fastest
0,291.4635416533333,297.61865716826765,OCO
1,232.8860908964263,218.25578798323806,GAS
2,144.81745579557725,140.43081538126344,GAS
3,219.66275883949555,217.65616678400002,GAS
4,163.1660157,158.08402565390742,GAS
5,169.0862826420891,176.53110802870026,OCO
6,247.59387755102043,249.59297052154193,OCO
7,271.7463094857143,272.3152813237182,OCO
8,279.28055555555557,282.30812054923587,OCO
9,235.8677084,258.5725,OCO
10,228.07819444444445,239.02682300440586,OCO
11,232.98647186147184,238.28558161329775,OCO
12,203.4676281025641,202.51277529046257,GAS
13,138.29285356858614,135.78688316545023,GAS
14,148.23401594069253,141.6650877860641,GAS
15,177.3063887593651,180.63579954128284,OCO
16,254.00505424141426,254.63845180190475,OCO
17,233.43167701863354,239.4607953939394,OCO
18,112.66443861946472,114.36572982428714,OCO
19,195.2421294617284,199.53522185179094,OCO
20,188.6728330957319,190.1703428953956,OCO
21,227.08972561490683,229.07896825396824,OCO
22,261.1497004775075,262.0756668069508,OCO
23,277.2739137156924,278.44265173623063,OCO
24,286.3500000533333,290.1828703407407,OCO
