Minisector,PIA,ALO,Fastest
0,275.3691249689297,275.11970053352775,PIA
1,298.68489599343036,301.5471145950126,ALO
2,294.6264698150437,299.37941689096596,ALO
3,169.32393093007016,164.44214253842864,PIA
4,117.97110393509645,119.31534754676463,ALO
5,232.59246092326663,235.08579786757372,ALO
6,291.37575154349224,291.6147455412917,ALO
7,310.10615833162655,309.6134938324362,PIA
8,180.82211738769197,161.8692252112462,PIA
9,135.40103898359007,137.66580680679087,ALO
10,247.34881148354916,251.03508530976433,ALO
11,288.11094323620085,291.1528098402828,ALO
12,301.9477090875392,304.04891835671,ALO
13,282.9140268071222,286.8073479996662,ALO
14,296.53151660773455,299.7956129015873,ALO
15,299.68818541945166,302.0364618098701,ALO
16,255.29022487487813,250.37674174948876,PIA
17,228.68463963978834,227.3292461020277,PIA
18,276.24069607120174,285.0399186740461,ALO
19,300.99782450701116,311.9088652063492,ALO
20,306.01578815317316,312.0973648457143,ALO
21,224.67735526128212,214.73696419555557,PIA
22,257.42945472361714,257.20181410847886,PIA
23,128.34379049728537,129.13168557898086,ALO
24,212.1528738388758,210.6253763008113,PIA
25,256.22500160000004,,PIA
