Minisector,RIC,GAS,Fastest
0,272.5669043279438,263.6440829131653,RIC
1,296.98194474666667,293.2515620666667,RIC
2,310.6088891022222,315.36209208970894,GAS
3,319.9089286857143,330.58422636190477,GAS
4,325.8061111466667,339.2982141069597,GAS
5,329.6167411047619,344.20554036043956,GAS
6,212.99166978235587,277.4975027795856,GAS
7,108.5104027603513,113.21671852666665,GAS
8,188.23162218435323,156.35287271724135,RIC
9,263.5902782222222,257.2599523386243,RIC
10,294.8178080916957,299.487789825198,GAS
11,171.70877741450164,223.7188886373132,GAS
12,99.57673261815462,94.56002117162294,RIC
13,119.46135389694749,110.8245758289521,RIC
14,225.73733764031675,216.99621158787878,RIC
15,188.84616571733332,183.9375270741706,RIC
16,223.95322905333333,222.85104138666665,RIC
17,180.62996664615383,187.14647751002732,GAS
18,239.49259134814812,231.08541535999998,RIC
19,279.23124303680135,275.3292404571429,RIC
20,258.62996308994707,274.73258629649695,GAS
21,150.36470782918587,148.05866167487684,RIC
22,99.41486310060822,103.10553650748845,GAS
23,127.02819684304926,125.02313236790033,RIC
24,228.121678506912,211.0410412114286,RIC
