Minisector,LEC,BOR,Fastest
0,276.99634252506513,282.83424533074975,BOR
1,285.08151501284846,301.9173807475132,BOR
2,269.7971676823147,280.1714120968152,BOR
3,177.35005489768838,158.19100329860893,LEC
4,115.82489398728136,111.7039969239339,LEC
5,245.72470520353247,241.9301784345116,LEC
6,298.22889610419196,283.8993549549206,LEC
7,309.6603219690816,289.28341500040403,LEC
8,171.71236276437773,170.96251766830935,LEC
9,136.77714896427383,137.08262227122253,BOR
10,248.93455670457394,252.25234036307694,BOR
11,283.83058954118746,292.81751358535234,BOR
12,288.85932533038743,294.7027063343377,BOR
13,275.4594550739927,265.55080272626327,LEC
14,287.86121281626913,283.14970800813626,LEC
15,279.6569723926833,278.88153918787503,LEC
16,243.69662638134383,236.11120251114062,LEC
17,219.00511668215182,218.3482366407495,LEC
18,285.00882364275134,281.56725174222225,LEC
19,309.4372223573333,307.07363871255313,LEC
20,306.0085381721553,307.0303713916215,BOR
21,225.89277037641725,218.14017795678706,LEC
22,235.07223021824822,233.4078581485689,LEC
23,134.76579288699762,130.4845931089724,LEC
24,206.93835505913123,207.05275835822758,BOR
