Minisector,BOT,ALB,Fastest
0,294.31989168818325,292.21054207823937,BOT
1,297.1414357333333,288.62260857260895,BOT
2,170.40572917003027,168.95912632611834,BOT
3,228.79174336397517,230.32369308583918,ALB
4,276.0233602950658,274.77741268370926,BOT
5,293.16980648841997,292.07190049356285,BOT
6,299.24814820740744,297.9653695482723,BOT
7,158.25573942992193,160.6675025820354,ALB
8,141.00400624211184,142.44262237176224,ALB
9,253.68841389192502,253.00367557308834,BOT
10,285.91271893333334,282.16282675212364,BOT
11,297.3010049465707,286.0007042365915,BOT
12,147.25828423208281,147.83856605738765,ALB
13,206.71475423583541,206.44631515897436,BOT
14,264.7952016627354,262.2201303704534,BOT
15,203.88786735238094,209.4086229146739,ALB
16,226.64516726121974,229.52229609606627,ALB
17,215.4652085333333,221.35486034091136,ALB
18,246.92209523155668,251.22594294603172,ALB
19,277.68329307816975,277.11352590820627,BOT
20,294.15342539386756,290.6389446343567,BOT
21,262.9709750566893,267.4354158933333,ALB
22,220.62733983962588,231.68476294108564,ALB
23,213.6882331282619,216.19602532664496,ALB
24,269.2094734809778,269.0913129697333,BOT
25,282.0,284.92500160000003,ALB
