Minisector,VET,BOT,Fastest
0,269.34226224761903,265.85313983917,VET
1,133.1527647233081,132.64810804272074,VET
2,189.55119020288296,190.8997932464473,BOT
3,244.9686952241037,243.75711251485163,VET
4,264.8905023701038,263.5838709578589,VET
5,180.46834909358407,180.66554935587445,BOT
6,142.50968577079524,148.1370640546215,BOT
7,181.0497347403224,178.36121414016776,VET
8,100.61759170747017,104.63621079033096,BOT
9,74.28042562703955,78.61568407277602,BOT
10,92.80726406280677,91.61847892901694,VET
11,171.10204115392185,161.7235486295898,VET
12,243.06054292619612,240.85249962666666,VET
13,271.45641066666667,268.32318383368016,VET
14,282.8998751414233,282.46621894606994,VET
15,114.93294719014311,141.63401948303772,BOT
16,139.0366812577581,113.69997547730418,VET
17,191.8842917240482,194.03173026423576,BOT
18,195.73556114055677,181.14629547538496,VET
19,224.70202489923065,225.4836701867373,BOT
20,130.44184207842662,132.9269559782313,BOT
21,120.01939728700124,134.50865687252283,BOT
22,88.49709114389705,83.66784161510185,VET
23,189.4277809777778,176.93385314666665,VET
24,250.75690405682263,246.0548236177407,VET
25,,263.60624959999996,BOT
