Minisector,OCO,ANT,Fastest
0,282.9825493127075,283.65345758277437,ANT
1,296.8206221256288,302.5463352163265,ANT
2,242.3905591619051,239.97642688321832,OCO
3,115.88446031822549,118.30602383264821,ANT
4,137.26473043677808,130.84615180496593,OCO
5,253.14878305273206,251.23231553502416,OCO
6,272.19514932987016,265.8642186539166,OCO
7,123.43808883670899,126.20129009636386,ANT
8,247.64973953174092,244.04834028338982,OCO
9,266.0412464397187,253.37417571604394,OCO
10,203.9271792105149,207.92188336423513,ANT
11,141.28026134980448,138.97150247605867,OCO
12,206.66704779059583,206.71792608608783,ANT
13,267.92785591618804,264.1575005838569,OCO
14,121.18968753197696,118.24525604993624,OCO
15,194.77406246597107,199.77666735294753,ANT
16,263.68611773859254,264.21580014509317,ANT
17,291.78575502614717,292.6983026243912,ANT
18,304.91328750193776,306.8470522935147,ANT
19,310.9573214780952,312.74854095283774,ANT
20,311.80527204716554,315.7469846736842,ANT
21,170.35259530900152,141.04306727678608,OCO
22,144.85805581391293,165.62415669986595,ANT
23,204.57344269502343,204.189348288,OCO
24,238.77208922980822,246.44676103226723,ANT
