Minisector,GAS,NOR,Fastest
0,258.5429188075924,255.99750432000002,GAS
1,133.0963838836227,129.2842454432168,GAS
2,200.5995150311111,197.06962623558897,GAS
3,246.65267826622573,247.19641813679655,NOR
4,255.47272548923078,256.5984772854701,NOR
5,174.29139870236915,172.97829843682538,GAS
6,146.6783884083245,140.32955724391428,GAS
7,183.26449552007514,173.3082674575084,GAS
8,100.36663824936406,98.16889323391102,GAS
9,74.13282380458921,69.32462487296606,GAS
10,95.87819361969935,88.80994227170974,GAS
11,188.18498439944017,171.81909369825107,GAS
12,245.5160004395238,243.19778754461538,GAS
13,269.20658908542123,268.6125114240736,GAS
14,279.774577745887,276.22798302666666,GAS
15,109.81864522165495,111.0833332838906,NOR
16,146.88421332454598,139.66180120170148,GAS
17,185.51736645815873,187.74842099580772,NOR
18,194.9486864210224,197.31417170462336,NOR
19,202.43657005760286,215.52401820352094,NOR
20,136.63512754962963,132.3849651331648,GAS
21,108.04787053611754,111.6553097291806,NOR
22,100.35243284926277,89.88951906641583,GAS
23,196.3663054464762,194.19934726636413,GAS
24,248.46340352809523,249.424368988654,NOR
25,262.99999743999996,264.26,NOR
