Minisector,BOR,VER,Fastest
0,267.8937841542562,266.4518452005442,BOR
1,287.0344276355556,284.84101377244446,BOR
2,291.90977564024604,287.87432963428574,BOR
3,133.32571965748164,131.03556462222224,BOR
4,195.98449907386396,193.57474427841413,BOR
5,253.66014657923097,255.37992266020203,VER
6,139.99204475259637,146.17187205191658,VER
7,207.9056748608919,203.85159640016565,BOR
8,258.1654840674143,256.77701923251334,BOR
9,277.3316762772161,278.60327398453785,VER
10,235.37428795292234,245.54391228051946,VER
11,187.0982578143818,187.16042628088152,VER
12,194.5774187066481,201.74121535227053,VER
13,144.7640537532581,146.74080468089332,VER
14,173.55982241289607,175.50852060154125,VER
15,166.40396375891828,165.7512711019505,BOR
16,221.48235850596993,219.46153681087364,BOR
17,236.13471265904764,243.10571770088185,VER
18,242.91244294603175,243.56243765707873,VER
19,246.99841541624113,246.93903105306123,BOR
20,141.82462917288515,147.34271942849207,VER
21,130.05098510578213,139.80756838425734,VER
22,170.73318975719994,167.55297523450466,BOR
23,152.75665644570708,158.32081171333274,VER
24,229.86932802857865,227.53464567006057,BOR
25,,254.46500096,VER
