Minisector,PIA,HAD,Fastest
0,321.8654399085235,322.7088282828283,HAD
1,329.4979024521212,334.69601850158733,HAD
2,331.3304107579221,335.95399117754386,HAD
3,197.12763619804696,191.87567585467372,PIA
4,136.5090565425883,124.48547800248765,PIA
5,270.5414950306878,266.34734963776424,PIA
6,302.2381946893444,303.62474205396825,HAD
7,313.84660493827164,317.683923082929,HAD
8,276.6975214866389,249.73796290930167,PIA
9,152.09670057973233,148.4969574097822,PIA
10,229.99371494947843,219.5153130293968,PIA
11,233.30510131490738,231.97271268289984,PIA
12,213.62214822907936,204.9932267668312,PIA
13,272.302165051529,276.60092294372294,HAD
14,305.87395456701887,311.8949255454555,HAD
15,316.9605417066667,324.3353436734157,HAD
16,277.6882989397691,248.80456769846154,PIA
17,223.46749158770442,227.11627356775463,HAD
18,280.53444958758934,285.4893416082906,HAD
19,310.4568482847484,315.2986165696056,HAD
20,321.22678808126983,324.8862745098039,HAD
21,304.71676033830204,279.81942451179975,PIA
22,224.44964731118296,214.80812874770044,PIA
23,271.3212358011255,273.9107572966055,HAD
24,307.1659466024038,309.26398840857246,HAD
25,316.4,,PIA
