Minisector,VER,RIC,Fastest
0,261.76529527429415,250.4371454697299,VER
1,297.31357649642706,278.90870206258506,VER
2,157.2879170882447,162.5037864373572,RIC
3,165.28229071372547,160.33728597627248,VER
4,260.9732076417577,257.4213544888889,VER
5,270.5561013587302,263.05132495930735,VER
6,227.59262752029136,214.42109733474427,VER
7,205.32310786394558,196.48926737149432,VER
8,160.77241441625372,155.47533929127613,VER
9,234.97370346153096,220.85216946128037,VER
10,275.729545939394,274.36845277460316,VER
11,119.30156783491259,125.34211369683781,RIC
12,223.1328055032967,210.08497194264294,VER
13,275.43736906671614,269.9748382337662,VER
14,293.3405699368421,290.31187170567455,VER
15,295.78968253968253,297.9092040471151,RIC
16,210.44030272451496,224.2020314205256,RIC
17,133.82170724532563,133.72022470293166,VER
18,140.19329524248238,133.14583744132315,VER
19,123.25601052865358,120.42936227638485,VER
20,229.33133282133335,219.69378271040566,VER
21,255.87365842093104,243.13656876726859,VER
22,235.5508217715928,225.43055703703703,VER
23,219.6822524205128,212.22889104221827,VER
24,148.08898836825398,141.4906802731707,VER
25,,221.63333262222224,RIC
