Minisector,STR,RIC,Fastest
0,261.3150240530845,257.47707560843605,STR
1,227.85519565889766,222.5118689231363,STR
2,131.25706154530943,147.83430005841618,RIC
3,235.21929575683347,241.0286661577655,RIC
4,271.37520393513495,269.91668867562663,STR
5,179.13673334911533,178.30230835105291,STR
6,101.24585264458368,98.20822399407898,STR
7,133.68049862027394,134.47897963844008,RIC
8,252.13996676458257,244.37915130968491,STR
9,163.25997324687106,160.54314796065597,STR
10,177.84723646461632,185.38325262222222,RIC
11,258.4479167589744,252.7345558990854,STR
12,257.73961517159637,232.20273029885058,STR
13,265.59947600457144,245.63463275642658,STR
14,284.3244464480773,274.94913137777775,STR
15,266.0981231223867,266.2148346453333,RIC
16,137.40209937825097,137.20112415938672,STR
17,230.45258555270937,232.59366968395344,RIC
18,277.5216850422172,275.3701035981663,STR
19,288.6121894161491,286.0130836026816,STR
20,291.7965579130435,291.42362771925553,STR
21,297.7687545745429,296.8223084256729,STR
22,139.91515196530696,134.55002279745727,STR
23,81.71008576615566,82.1714655001743,RIC
24,168.0988992924783,164.55527723834044,STR
25,241.87500266666666,,STR
