Minisector,BOT,NOR,Fastest
0,249.6927316597456,246.60757868693727,BOT
1,283.51902172753626,283.25533333333334,BOT
2,183.88194039814937,187.42643004719088,NOR
3,150.06069202859751,148.92605964317673,BOT
4,257.29382716049383,258.65351237507065,NOR
5,264.86336098694505,265.452314745679,NOR
6,212.46458333333334,215.84905568357183,NOR
7,192.27617589169742,195.4571627468324,NOR
8,151.80313659030483,149.67177060817787,BOT
9,207.68333333333334,206.67089079171075,BOT
10,269.9984727089266,267.3553333333333,BOT
11,124.40862230494861,128.05099115626282,NOR
12,205.68846748552045,201.26563877643122,BOT
13,270.12586809052095,269.4581666986667,BOT
14,292.3539370222433,290.8618181381645,BOT
15,302.26213769275364,299.4528985507246,BOT
16,251.42887175727193,272.0111905361804,NOR
17,131.6322044558945,132.73928811874686,NOR
18,126.07580157636448,125.99201891922094,BOT
19,117.7870583273292,115.10895652544272,BOT
20,224.70597289720857,219.34812876980567,BOT
21,247.30052121289313,252.28720243223444,NOR
22,232.30909272906405,244.16825755105756,NOR
23,214.24230181371266,217.12231187956988,NOR
24,137.44186651919014,135.05048314949144,BOT
25,217.55,212.02361173333335,BOT
