Minisector,PIA,NOR,Fastest
0,297.5119199927746,295.9930331243513,PIA
1,170.5059265722546,171.46661737417259,NOR
2,175.48174109373932,179.17400444533996,NOR
3,252.95768725394285,252.80521506917393,PIA
4,288.39125351339254,287.37757702702027,PIA
5,253.58724090510802,252.57676047709091,PIA
6,233.62216212453134,229.38482324038807,PIA
7,157.398032446749,156.20734808442302,PIA
8,229.30860568435767,229.41619979369963,NOR
9,283.7347807047619,281.04438849205434,PIA
10,305.1311377750932,302.0093268398666,PIA
11,314.53563180440125,312.21746261904764,PIA
12,319.4846198269006,316.9757171004639,PIA
13,317.5215765982547,309.5196370571763,PIA
14,124.19838569530837,124.27682303300423,NOR
15,117.53197088204112,117.7280886572815,NOR
16,103.87297407637402,109.78873996721667,NOR
17,237.2980524051777,242.30758510485597,NOR
18,286.26661828848484,287.9641603777924,NOR
19,305.3883286030382,307.0522007421645,NOR
20,315.19712907402317,316.9858193193651,NOR
21,316.80897609916855,315.8871081331294,PIA
22,122.84793037376956,123.23640393179245,NOR
23,212.00121311181022,223.34268599543762,NOR
24,271.80091471179577,274.981279678047,NOR
25,286.9124992,,PIA
