Minisector,LEC,HAM,Fastest
0,305.3894031489645,306.4955321392073,HAM
1,321.3503434901099,320.6289904253968,LEC
2,295.0924613165121,290.9675051275782,LEC
3,110.79251139037027,109.01550404896261,LEC
4,226.68660753667825,234.0841508449654,HAM
5,273.0789913483881,270.68620132041406,LEC
6,181.43618435888197,211.70262011586206,HAM
7,172.82548405539026,168.1013661850866,LEC
8,212.5007084171722,210.1999967960338,LEC
9,220.94080750949956,221.04553179523302,HAM
10,115.65828590158065,116.83628162391474,HAM
11,232.1711330276746,228.00210533898206,LEC
12,119.71667540115425,115.4439116509519,LEC
13,227.28467573968254,221.87411721998367,LEC
14,275.92728867776543,275.61668688217685,LEC
15,230.30823289904762,228.2078563829215,LEC
16,195.6064441643925,202.5449057720068,HAM
17,252.46289806517288,251.89218388050804,LEC
18,186.66213880157719,199.29346588583718,HAM
19,187.6840835535972,186.5314813948845,LEC
20,264.264221426087,265.2347282036009,HAM
21,289.8570575784917,288.86772495238097,LEC
22,176.34996888606972,168.94220115033485,LEC
23,212.96965854052758,215.7606422679365,HAM
24,271.907838498355,272.6906220694767,HAM
