Minisector,HAM,KVY,Fastest
0,286.92916663703704,288.839215372549,KVY
1,295.18137248627454,299.2762644651898,KVY
2,300.1868872,302.63776033333335,KVY
3,301.0091146666667,301.9980387764706,KVY
4,184.42901292698411,173.54124100426736,HAM
5,225.13787804444445,220.2065889173308,HAM
6,250.55080628569317,244.94189136480182,HAM
7,271.10839560501256,268.1064813037037,HAM
8,270.2859653459557,260.4550595657143,HAM
9,173.47032597107585,166.34915165832658,HAM
10,234.96196808366267,231.87986979740262,HAM
11,141.57976159346939,135.78084250462243,HAM
12,227.09900630780996,222.33518394255123,HAM
13,205.6113344,193.41474486153845,HAM
14,224.54303890909088,217.93939345454547,HAM
15,257.0882571364968,249.09604154666667,HAM
16,266.956049143404,261.4983476320841,HAM
17,284.95381496039164,285.1744189604442,KVY
18,139.84951914749035,128.48659776911555,HAM
19,170.35279015343943,162.61186435555555,HAM
20,155.4234929761905,147.34456214500045,HAM
21,174.93435805894126,168.83501453453536,HAM
22,123.11633478794833,120.72532646167801,HAM
23,226.9136896,229.0188947852473,KVY
24,268.64473667368424,270.029256152381,KVY
