Minisector,ALB,GRO,Fastest
0,280.3687981424142,276.2545339834448,ALB
1,251.61966669598232,243.07196735454892,ALB
2,272.90616979196693,266.06566453916844,ALB
3,287.2395395219344,281.0531010521097,ALB
4,122.99678911507081,121.12929596963014,ALB
5,205.97615677900217,203.85664068649677,ALB
6,270.86486237835925,265.04046899870303,ALB
7,303.1989803242308,286.6523639996769,ALB
8,317.8906751189545,297.37340362420707,ALB
9,325.86344984382833,302.29536304520684,ALB
10,304.2086401309126,287.5798624,ALB
11,100.85053808933006,96.96209953602354,ALB
12,221.80682697662286,215.32466358075345,ALB
13,270.99947612517815,264.6047882830504,ALB
14,271.9374767657617,267.5370378074074,ALB
15,131.86781775701263,129.41708950296433,ALB
16,195.54829197283448,198.9850033601976,GRO
17,248.6317482692221,250.65257007428073,GRO
18,257.55883930608496,252.92724672871503,ALB
19,237.31316488444767,240.32559505703298,GRO
20,149.2041956541433,151.30457100691535,GRO
21,181.5435254441114,181.86719614410833,GRO
22,165.870555904451,171.47812014158643,GRO
23,183.7403668445388,188.49052482115277,GRO
24,247.21749841148443,244.89462312729427,ALB
25,267.5750016,266.5125002666667,ALB
