Minisector,PIA,SAI,Fastest
0,306.82790415157893,311.0082084853333,SAI
1,202.38621319717421,214.78427309922077,SAI
2,146.16713702538397,147.28655346309054,SAI
3,223.8063662509317,220.8215964088889,PIA
4,168.73171074760288,169.1017150951724,SAI
5,186.5317798873397,175.1275044416277,PIA
6,254.04752800504426,251.95155212388082,PIA
7,278.08694067221154,278.55030120421054,SAI
8,287.6247796001411,288.2587817429692,SAI
9,255.32314972825645,260.3975611629082,SAI
10,234.69154256699417,239.1801362428283,SAI
11,236.31738694209525,241.50459468580544,SAI
12,197.72000278479788,197.41188626990336,PIA
13,131.4716307074533,132.88731576509508,SAI
14,137.94550059837957,131.2097363242328,PIA
15,172.06649278538353,177.54991557923995,SAI
16,246.1549465748687,255.15973034218484,SAI
17,243.25556197417177,237.22757944059194,PIA
18,115.91444538541265,113.53414234575732,PIA
19,197.16452986809819,207.2315399769778,SAI
20,206.49178074048308,195.7410590030343,PIA
21,234.6361764144773,241.47352616477704,SAI
22,264.3474545183174,276.1589292486772,SAI
23,286.40722024515406,298.9110674876751,SAI
24,300.24259632924293,315.3716240343158,SAI
