Minisector,ALO,NOR,Fastest
0,293.28112101847876,295.7256677401058,NOR
1,300.60122820661246,302.96899558136323,NOR
2,222.57678789262545,209.40422784945687,ALO
3,139.67561532993062,135.4517539205566,ALO
4,223.15230696543304,219.81675635857707,ALO
5,166.70418689751122,164.05612418777852,ALO
6,178.27218401215654,176.06793006446884,ALO
7,252.7315013309102,251.82517794935538,ALO
8,279.2625189211808,278.751692358254,ALO
9,286.82427200454543,287.3024800571429,NOR
10,256.5960408410831,260.18629302138146,NOR
11,243.8945308781395,240.8790772,ALO
12,245.18515258794187,241.05590149439007,ALO
13,215.99040739961907,206.60699709999997,ALO
14,132.8656605753921,128.6030154810563,ALO
15,142.64717152172926,140.30279648656216,ALO
16,185.18875001904763,174.6091545559637,ALO
17,246.76723414518517,253.868561576,NOR
18,258.3002535755389,236.15480362920636,ALO
19,118.69343650026232,114.53322205637285,ALO
20,193.4277679388543,199.48036645462633,NOR
21,201.51540130993232,198.36215011636364,ALO
22,227.57176012334935,236.64452697160647,NOR
23,261.6938905722488,274.0669482867168,NOR
24,277.9268785280548,297.49061257512267,NOR
25,288.72618971428574,,ALO
