Minisector,VET,MAG,Fastest
0,283.9738657323973,277.20869697742927,VET
1,250.3790418898472,231.4427159888657,VET
2,278.5099404077597,260.42061504777905,VET
3,301.091546407981,280.1318918029246,VET
4,124.61111327616167,127.33900690202563,MAG
5,208.26454892492805,209.61084571678822,MAG
6,275.143424358255,266.6153836098513,VET
7,308.2252156579763,289.2917122221251,VET
8,324.53412443777376,300.51511192684865,VET
9,328.32666666666665,304.93272814719364,VET
10,303.89350906010486,281.3593993349107,VET
11,100.45475941792076,99.42278043118763,VET
12,223.3061751169935,221.96990157650623,VET
13,272.81597197037036,267.7320298402578,VET
14,275.86384021478824,260.7350485188898,VET
15,130.03561555082942,124.52797076750973,VET
16,201.6933952924218,200.19358105867656,VET
17,257.3734947546274,254.6657107953892,VET
18,257.2835603033909,247.51611197674293,VET
19,250.85898653915797,240.3083770069243,VET
20,149.98975822903117,144.2581470349808,VET
21,188.06070775017682,191.38813455213113,MAG
22,177.00962884555503,160.05118716043464,VET
23,189.31268707107873,192.5097389238413,MAG
24,253.58364002112435,250.93376415170005,VET
