Minisector,BOT,STR,Fastest
0,327.9732138320347,315.47499059938804,BOT
1,340.5954646058957,322.95804224559697,BOT
2,344.20439683780097,321.2158942666041,BOT
3,206.48578203346202,197.5762342592996,BOT
4,115.14234495541889,116.70135400577685,STR
5,265.9486485235215,261.5040610464747,BOT
6,301.1152168811594,295.95256252730377,BOT
7,311.3081520231884,301.26041662222224,BOT
8,279.0475345382716,273.70015194074074,BOT
9,139.91546375384615,141.6551811654395,STR
10,219.67139000702593,221.5120179610141,STR
11,208.5343473927171,210.49455086282978,STR
12,191.00683265824966,194.4060453006695,STR
13,266.92239716684304,266.23692746948853,BOT
14,301.25424112332763,297.63767345396826,BOT
15,311.82536217971017,302.46032607536233,BOT
16,272.2109422544832,261.5872561917052,BOT
17,195.20198307724866,198.84403391302402,STR
18,267.80642064146366,266.57206712098764,BOT
19,306.28768055652176,298.8320655768116,BOT
20,316.62826073043476,306.79652782222223,BOT
21,308.87777964444444,295.915499904,BOT
22,203.89858358755293,205.61914870857143,STR
23,261.7476692575897,260.0043209481482,BOT
24,305.501999104,298.2589637511078,BOT
25,319.3833322666667,,BOT
